TransectPoints.OBJECTID,TransectPoints.ForestType,TransectPoints.TransectID,TransectPoints.CoordX,TransectPoints.CoordY,TransectPoints.Permission
206,EarlySuccessional,206,-78.50000056,41.56274635,Done
207,EarlySuccessional,207,-75.9793942,41.19875758,Not Done
208,EarlySuccessional,208,-78.69471552,41.61558186,Done
209,EarlySuccessional,209,-75.37107049,41.13012713,Not Done
210,EarlySuccessional,210,-78.25447752,41.57122686,Done
211,EarlySuccessional,211,-75.49680555,41.1539804,Positive
212,EarlySuccessional,212,-75.78327518,41.20360985,Positive
213,EarlySuccessional,213,-78.41533098,41.60014086,Positive
214,EarlySuccessional,214,-76.17514454,41.27243754,Not Done
215,EarlySuccessional,215,-78.55760831,41.6328329,Positive
216,EarlySuccessional,216,-77.4003954,41.46851688,Done
217,EarlySuccessional,217,-75.40914053,41.16599888,Not Done
218,EarlySuccessional,218,-79.42917844,41.76231896,Done
219,EarlySuccessional,219,-78.32337193,41.61356651,Positive
220,EarlySuccessional,220,-76.4742282,41.34206458,Done
221,EarlySuccessional,221,-75.52887708,41.19541072,Not Done
222,EarlySuccessional,222,-78.12508457,41.59237078,Done
223,EarlySuccessional,223,-78.47071239,41.6437885,Positive
224,EarlySuccessional,224,-77.67162988,41.53097428,Done
225,EarlySuccessional,225,-77.31694067,41.4824709,Done
226,EarlySuccessional,226,-75.63602614,41.22266034,Positive
227,EarlySuccessional,227,-77.76384739,41.55081879,Done
228,EarlySuccessional,228,-75.73239617,41.24149364,Not Done
229,EarlySuccessional,229,-76.91508985,41.42909425,Done
230,EarlySuccessional,230,-78.60914055,41.69223767,Positive
231,EarlySuccessional,231,-78.54488713,41.68343996,Positive
232,EarlySuccessional,232,-76.29382423,41.35347279,Done
233,EarlySuccessional,233,-78.94273813,41.74063515,Not Done
234,EarlySuccessional,234,-75.48817793,41.22828855,Done
235,EarlySuccessional,235,-75.67244231,41.26474089,Done
236,EarlySuccessional,236,-75.4243485,41.23433628,Not Done
237,EarlySuccessional,237,-79.50862349,41.83794908,Not Done
238,EarlySuccessional,238,-78.26873828,41.67143002,Positive
239,EarlySuccessional,239,-75.81512519,41.30740883,Not Done
240,EarlySuccessional,240,-75.10046507,41.19084777,Not Done
241,EarlySuccessional,241,-77.44754991,41.57379675,Done
242,EarlySuccessional,242,-78.65647198,41.75104168,Positive
243,EarlySuccessional,243,-78.47215052,41.72580203,Not Done
244,EarlySuccessional,244,-77.55683646,41.5962856,Done
245,EarlySuccessional,245,-76.20556795,41.39883605,Not Done
246,EarlySuccessional,246,-78.02444667,41.67314973,Done
247,EarlySuccessional,247,-76.26411007,41.4112803,Positive
248,EarlySuccessional,248,-76.08737525,41.39341153,Not Done
249,EarlySuccessional,249,-76.76899013,41.50875085,Done
250,EarlySuccessional,250,-75.02621905,41.23121613,Positive
251,EarlySuccessional,251,-77.59542804,41.6346689,Not Done
252,EarlySuccessional,252,-78.80654659,41.80736359,Not Done
253,EarlySuccessional,253,-78.60836021,41.78374494,Positive
254,EarlySuccessional,254,-75.07028623,41.26162011,Positive
255,EarlySuccessional,255,-78.10288218,41.73006579,Not Done
256,EarlySuccessional,256,-76.2166911,41.45317396,Not Done
257,EarlySuccessional,257,-75.58936799,41.36651438,Not Done
258,EarlySuccessional,258,-79.51106027,41.93953704,Not Done
259,EarlySuccessional,259,-75.71559838,41.3901576,Not Done
260,EarlySuccessional,260,-74.99086706,41.27475752,Positive
261,EarlySuccessional,261,-79.17304552,41.90527119,Done
262,EarlySuccessional,262,-76.06840716,41.45947437,Not Done
263,EarlySuccessional,263,-75.22481709,41.32344572,Not Done
264,EarlySuccessional,264,-75.09180792,41.30803458,Not Done
265,EarlySuccessional,265,-78.54174905,41.8368136,Positive
266,EarlySuccessional,266,-77.86446289,41.74216775,Done
267,EarlySuccessional,267,-77.26503515,41.65849873,Done
268,EarlySuccessional,268,-78.22373011,41.81249445,Done
269,EarlySuccessional,269,-78.62125841,41.87385348,Positive
