OBJECTID_1,Field1,SiteID,SiteID2,Latitude1,Longitude1,OBJECTID,Join_Count,TARGET_FID,Latitude,Longitude,Elevation,Index,sf1,sd1,dd1,bf1,PercF4500,PercES4500,PercES
68,68,63,63r,41.2137,-78.38037,68,1,68,41.21251183,-78.38087792,584.6312866,12497,148.2043915,67.83270264,-189.2015839,41.58123779,0.985555556,0.010433333,0
69,69,64,64r,41.92434,-78.76966,69,1,69,41.92331331,-78.76884485,692.6813354,169381,190.3749847,88.24743652,-259.5959167,53.25331879,0.960677778,0.006688889,0
70,70,65,65r,41.52555,-79.46086,70,1,70,41.52452107,-79.45929498,412.1270752,282102,140.4901276,67.1784668,-172.3507385,39.01872635,0.910288889,0.015055556,0
71,71,67,67r,41.91081,-78.66214,71,1,71,41.91192623,-78.66058467,623.2265015,170342,167.6447754,78.89803314,-233.0971375,48.81779861,0.897277778,0.013455556,0
72,72,68,68r,41.89957,-78.96265,72,1,72,41.90006398,-78.96118714,494.0989075,305301,149.1028595,75.62194061,-214.8440857,45.87600708,0.822744444,0.006522222,0
73,73,69,69r,41.63073,-78.97843,73,1,73,41.63098891,-78.97850387,552.916687,290600,154.5579529,74.54374695,-220.7338257,47.16462708,0.984233333,0.008433333,0.013888889
74,74,70,70r,41.47128,-76.22952,74,1,74,41.47156696,-76.22920069,692.4230957,146634,164.6450958,77.7206192,-233.7089386,49.75478363,0.979733333,0.027144444,0
75,75,72,72r,41.93557,-78.68852,75,1,75,41.93558113,-78.69022045,591.1043701,176014,160.9843445,78.23601532,-224.8122711,47.44391251,0.868688889,0.008433333,0
76,76,73,73r,41.31536,-78.21689,76,1,76,41.31413736,-78.21848611,402.0055542,30263,120.3308945,57.06333923,-161.4253235,37.21773148,0.985988889,0.009744444,0
77,77,74,74r,41.85349,-78.67961,77,1,77,41.85238526,-78.67993344,538.9176025,152618,152.8452606,79.68318939,-228.323761,48.05754471,0.944122222,0.012255556,0
78,78,75,75r,41.52155,-78.97917,78,1,78,41.51993094,-78.97916993,529.2681274,284871,141.3304138,70.62184143,-208.474762,45.01188278,0.989988889,0.006844444,0
79,79,76,76r,41.86606,-78.97653,79,1,79,41.86638208,-78.97835046,506.7142944,303297,160.553772,74.55375671,-212.7860107,45.56785583,0.8054,0.008144444,0.0625
80,80,77,77r,41.59619,-79.0951,80,1,80,41.59721136,-79.09288344,542.1365967,287997,149.1501007,72.24447632,-215.1167145,46.18489838,0.981955556,0.026655556,0.298611111
81,81,78,78r,41.97385,-79.01064,81,1,81,41.97515801,-79.00936999,630.565918,308473,208.677887,85.37389374,-237.7111664,49.64469147,0.925444444,0.004566667,0.027777778
82,82,79,79r,41.38994,-78.9002,82,1,82,41.38848118,-78.90104736,422.8241882,279377,115.6174698,62.25542831,-177.9971466,39.63700867,0.929433333,0.014977778,0.076388889
83,83,81,81r,41.15327,-78.283125,83,1,83,41.1528157,-78.28154886,588.9116211,8777,144.9780273,67.66772461,-185.0447083,40.82567596,0.941766667,0.008566667,0
84,85,82,82r,41.65033,-78.90199,84,1,84,41.65028629,-78.90296891,582.0497437,292127,162.0541534,78.9104538,-233.7985382,49.41698456,0.984033333,0.004766667,0.048611111
85,86,83,83r,41.41174,-79.32147,85,1,85,41.41197355,-79.32295216,479.2527466,277613,125.1835785,64.02740479,-180.7499542,40.39778137,0.771011111,0.017033333,0
86,87,84,84r,41.78168,-78.78397,86,1,86,41.78115389,-78.78200299,471.0164795,299957,145.7698822,76.90177917,-210.0081177,45.2257576,0.986855556,0.018522222,0
87,88,85,85r,41.81182,-78.90966,87,1,87,41.81114469,-78.90764168,463.1475525,300705,143.354126,74.66970062,-196.7752533,42.98148727,0.915544444,0.008466667,0.006944444
88,89,86,86r,41.43968,-79.25146,88,1,88,41.43836581,-79.25049817,512.3701782,279459,130.1318665,66.60661316,-192.2684479,42.38775253,0.945555556,0.0155,0.013888889
89,90,88,88r,41.20951,-78.31329,89,1,89,41.20932965,-78.3112361,616.293457,13113,156.8626404,70.07128906,-198.8145752,43.18864059,0.989333333,0.014,0.006944444
90,91,89,89r,41.74765,-79.40228,90,1,90,41.74890311,-79.4013881,498.1611023,293705,190.5014801,73.84646606,-200.5034637,43.76488113,0.908711111,0.007555556,0
91,92,90,90r,41.86008,-77.76998,91,1,91,41.85995407,-77.77129583,714.1491699,191586,162.8030548,71.59217834,-230.6957855,48.62932205,0.680511111,0.018655556,0
92,93,91,91r,41.98405,-78.3588,92,1,92,41.98496295,-78.35744149,434.7747192,203236,130.3778076,66.1503067,-186.6397095,41.25282669,0.877355556,0.028455556,0.4375
93,94,92,92r,41.37493,-79.25327,93,1,93,41.37334654,-79.25289761,477.2611084,276038,124.5198975,63.16347504,-183.7656097,40.93916321,0.879677778,0.013244444,0.006944444
94,95,93,93r,41.31346,-78.85025,94,1,94,41.3128158,-78.84911742,528.2320557,275687,125.6900406,68.09879303,-210.0335388,44.93781281,0.959077778,0.010355556,0
95,96,94,94r,41.79474,-78.84859,95,1,95,41.79357683,-78.8498845,613.6428833,300135,174.9045105,82.91933441,-242.076416,50.55592346,0.965433333,0.024133333,0.340277778
96,97,95,95r,41.97429,-77.37138,96,1,96,41.97268115,-77.37152041,358.9781494,230881,87.33378601,46.17426682,-134.3693085,33.50756454,0.640555556,0.023855556,0.013888889
97,98,96,96r,41.54984,-79.21547,97,1,97,41.55123219,-79.2144907,444.0055542,284816,135.8467712,67.16144562,-183.3734131,40.82951355,0.9845,0.013388889,0
98,99,99,99r,41.97894,-78.639,98,1,98,41.97779754,-78.63961366,536.9125977,190429,155.8378754,77.36633301,-218.8246765,46.51002884,0.860922222,0.009955556,0
99,100,100,100r,41.84509,-79.07063,99,1,99,41.84615083,-79.07206093,514.3169556,301444,166.6956024,74.76566315,-206.5008545,44.52374649,0.889066667,0.011777778,0
100,101,101,101r,41.42688,-74.86248,100,1,100,41.42830295,-74.86419541,395.1483459,197866,128.6194611,65.59397888,-149.2376404,34.04842758,0.924077778,0.015188889,0
101,102,102,102r,41.88481,-78.67194,101,1,101,41.88402959,-78.67201522,604.8186646,161919,177.1965332,84.81985474,-241.3163605,50.18439865,0.922633333,0.0117,0
102,103,102,102t,41.88358,-78.66266,102,1,102,41.88286235,-78.66342263,504.61203,161921,152.7855682,77.92354584,-212.3266602,45.37871933,0.922055556,0.012422222,0
103,104,104,104r,41.83239,-78.75292,103,1,103,41.83263392,-78.75145378,653.295105,144171,180.4463959,85.10499573,-250.4083099,51.80305862,0.967055556,0.022466667,0.333333333
104,105,109,109r,41.92093,-78.84606,104,1,104,41.92049474,-78.84508764,527.2142944,307290,169.9521942,79.12805939,-221.553299,47.03103256,0.9852,0.001277778,0
105,106,110,110r,41.76452,-78.73706,105,1,105,41.76527468,-78.73717063,546.121521,125694,155.3357544,76.98910522,-212.0704041,45.56669998,0.966255556,0.011622222,0.006944444
106,107,111,111r,41.70779,-79.19992,106,1,106,41.70606712,-79.19918681,582.1270752,292902,182.160965,77.8162384,-224.7000885,47.7875824,0.989211111,0.005022222,0.180555556
107,108,112,112r,41.99075,-78.67998,107,1,107,41.98996638,-78.68105001,593.5439453,192322,184.1726532,82.76847839,-240.9216614,50.17826462,0.910622222,0.005777778,0
108,109,112,112t,41.98987,-78.68257,108,1,108,41.98996638,-78.68105001,593.5439453,192322,184.1726532,82.76847839,-240.9216614,50.17826462,0.910622222,0.005777778,0
